7943678,1,31
7943678,67,27
7943678,33,20
7943678,3,16
7943678,104,13
7943678,105,10
7943678,40,4
7943678,68,4
7943678,58,3
7943678,31,3
167302,6,205
167302,57,111
167302,19,105
167302,61,60
311308,3,749
311308,19,378
311308,21,374
311308,22,298
311308,20,227
311308,6,169
311308,123,77
311308,32,61
311308,124,30
311308,125,25
16356,2,778
16356,6,190
16356,50,168
16356,86,149
82553,1,401
82553,6,153
82553,55,108
82553,108,68
82553,126,55
82553,36,43
82553,127,41
82553,35,30
82553,100,30
82553,128,21
16130758,33,1206
16130758,1,301
16130758,77,257
16130758,3,213
13425352,1,166
13425352,35,127
13425352,33,106
13425352,129,62
922119,130,110
922119,59,65
922119,3,61
922119,115,50
922119,41,46
922119,63,35
5350,6,1135
5350,7,473
5350,2,402
5350,131,229
294285,10,142
294285,8,96
294285,67,68
294285,129,45
294285,43,30
294285,75,25
294285,84,14
294285,105,9
294285,132,9
294285,2,8
22852698,33,651
22852698,6,91
22852698,39,72
22852698,133,54
457762,93,929
457762,31,390
457762,33,149
618924,19,140
618924,22,32
618924,134,29
618924,6,29
13151,2,454
13151,6,324
13151,7,235
13151,50,169
402,6,344
402,80,67
402,135,46
402,73,44
104216,6,97
104216,23,39
104216,19,17
104216,58,15
104216,3,14
244475,2,128
244475,67,103
244475,3,59
244475,130,54
244475,6,53
244475,41,50
244475,7,47
7893,32,56
7893,1,42
7893,6,36
7893,19,35
7893,31,26
7893,22,17
878307,33,300
878307,6,92
878307,103,58
12447,6,216
12447,32,129
12447,73,29
12447,80,21
85993,1,829
85993,3,309
85993,58,242
85993,59,210
85993,6,192
226425,10,105
226425,75,71
226425,43,69
226425,31,30
3942622,68,326
3942622,106,316
3942622,67,295
3942622,3,290
3942622,33,86
47241,33,493
47241,40,174
47241,35,92
47241,3,68
47241,77,51
47241,6,51
47241,136,36
47241,67,19
47241,37,19
47241,34,13
339026,33,693
339026,1,175
339026,36,100
339026,6,98
339026,98,86
37451,1,663
37451,58,207
37451,6,166
37451,59,136
11273356,3,225
11273356,35,190
11273356,129,166
11273356,67,124
11273356,68,101
11273356,63,83
11273356,33,71
11273356,137,71
11273356,38,42
11273356,106,37
13075513,138,443
13075513,63,207
13075513,3,169
13075513,56,89
13075513,115,68
146106,25,522
146106,26,195
146106,27,107
146106,6,85
146106,36,70
140278,2,2104
140278,6,576
140278,50,509
140278,32,302
140278,139,165
137098,58,608
137098,3,213
137098,6,157
137098,59,60
2206960,1,120
2206960,2,49
112075,19,227
112075,22,73
112075,6,60
112075,122,10
50725,6,193
50725,32,140
50725,19,43
50725,3,38
50725,125,32
50725,28,23
50725,80,18
50725,140,18
50725,73,16
50725,22,15
6503152,68,199
6503152,67,186
6503152,3,173
6503152,106,156
6503152,141,89
264587,81,119
264587,6,98
264587,142,55
264587,143,47
