209,Khaled Abdel Rahman,M,188,79
210,Sameh Abdel Rahman,M,NA,NA
211,Yasser Abdel Rahman Sakr,M,180,120
212,Samy Abdel Razek,M,170,60
213,Mohamed Youssef Abdel Razik,M,NA,NA
214,Ibrahim Ahmed Abdel Rehim,M,190,83
215,Kamal Abdel Rehim,M,190,95
216,Reskalla Mohamed Abdel Rehim,M,165,48
217,Ahmed Ali Abdel Samad,M,195,95
218,Ali Abdel Sami,M,NA,NA
219,Mohamed Abdel Sami,M,NA,NA
220,Sameh Abdel Waress Muhammad,M,NA,NA
221,Mohamed Said Abdel Wehab,M,157,48
222,Mahmoud Abdel-Aal,M,NA,NA
223,Mohamed Abdel-El,M,NA,NA
224,Shaimaa Abdel-Latif-Hashad,F,165,57
225,Sanad Bushara Abdel-Nadif,M,NA,NA
226,Ahmed Abdelaal,M,188,89
227,Mahmoud Abdelaal,M,176,60
228,Mohamed Ali Abdelaal,M,175,81
229,Moustafa Abdelal,M,NA,NA
230,Mahmod Abdelaly,M,NA,NA
231,Ibrahim Ramadan Ibrahim Abdelbaki,M,173,77
232,Aziza Abdelfattah,F,159,51
233,Abdalla Abdelgadir El-Sheikh,M,170,58
234,Magdi Abdelghani Sayed Ahmed,M,NA,NA
235,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170,94
236,Ben Ahmed Abdelkrim,M,NA,NA
237,Mohamed Abdellah,M,170,70
238,Ayoub Abdellaoui,M,184,68
239,Leila Abdelmoez,F,160,46
240,Sayed Abdelmonem Sayed Hamed,M,170,60
241,Ahmed Abdelrahman,M,165,60
242,Ihab Abdelrahman El-Sayed Abdelrahman,M,194,96
243,Raouf Abdelraouf,M,167,63
244,Abouelfetoh Abdelrazek,M,NA,NA
245,Mamdouh Abdelrehim,M,207,90
246,El-Hachemi Abdenouz,M,170,63
247,Rda Abdenouz,M,170,63
248,Mouni Abderrahim,F,173,60
249,Saeid Morad Abdevali,M,170,80
250,Bashir Abdi,M,176,56
251,Youcef Abdi,M,178,66
252,Jamal Abdi Hassan Abdullah,M,177,65
253,Talal Omar Abdillahi,M,170,57
254,Mahmoud Ahmed Abdin,M,NA,NA
255,"Abdihakim ""Abdi"" Abdirahman",M,178,61
256,Ali Abdo,M,169,74
257,Hamza Abdo,M,NA,NA
258,Reema Abdo,F,173,59
259,Ahmed Abdo Mustafa,M,NA,NA
260,Nasrollah Abdollahi,M,183,75
261,Yhyacinthe Mewoli Abdon,M,176,60
262,Hassane Abdou,M,185,67
263,Justin Abdou,M,175,85
264,Moustafa Ahmed Ismail Abdou Ali Arfah,M,NA,NA
265,Raouf Abdou,M,165,60
266,Mohamed Abdou El-Souad,M,180,76
267,Brahim Daoud Abdoulaye,M,NA,71
268,Fawziya Abdoulkarim,F,180,67
269,Alaa El-Din Abdoun,M,188,78
270,Ibrahim Abdrabbou,M,NA,NA
271,Berik Abdrakhmanov,M,165,60
272,Maizurah Abdul Rahim,F,147,50
273,Mehdi Fahim Abdul Al-Sada,M,184,70
274,Bashir Abdullah Abdul Aziz,M,180,73
275,Chairil Anwar Abdul Aziz,M,163,61
276,Shaimaa Abdul Aziz,F,160,53
