87902,69
88271,40
93527,8
98000,109
102174,19
113075,70
122260,36
122486,227
129364,216
3339,171
14486,36
25838,69
27749,105
32909,36
44090,69
55671,36
71247,13
98657,190
123163,216
128595,100
1112,120
3285,32
22557,8
28350,36
29242,79
34657,97
35248,100
36860,40
38325,36
43183,216
51758,109
53343,100
54754,190
57239,69
58847,97
61827,74
63599,13
63674,13
72169,97
78616,63
80435,63
85066,104
86129,216
92015,190
95394,150
96858,104
97088,8
100664,12
106299,74
107055,74
108171,152
112591,216
114909,120
125369,36
125695,40
129100,190
129448,152
8192,200
35973,74
101413,54
108497,74
122229,190
131007,69
28821,169
60222,13
61933,55
83176,13
106958,36
108682,181
1619,8
1892,207
2301,69
2980,100
3215,49
3236,53
7768,53
7866,181
11593,79
13655,90
16224,32
16400,125
18296,27
18386,8
18500,130
19382,207
20492,204
21769,216
24961,119
27080,150
29756,130
30689,125
30998,119
32271,227
35152,29
35232,8
38937,49
39688,74
41474,130
43871,8
44068,27
45924,190
45954,29
52316,81
54805,162
56734,182
57137,119
60825,99
62511,130
63229,27
65976,49
66886,3
69008,194
70208,164
72170,97
73090,92
81225,29
84423,49
87162,158
87654,190
90946,3
91504,125
91871,4
91951,92
93372,182
94373,55
95124,125
96677,204
98624,100
100304,193
101181,79
103254,27
104294,4
104709,119
105237,227
106947,216
113532,100
115823,53
116370,29
117705,69
119697,207
121927,81
125174,50
125623,4
129822,36
130781,207
135194,97
1666,125
1692,125
2340,36
3170,130
18154,100
18285,83
18533,130
20676,104
21131,83
21181,69
24205,97
26305,63
32421,27
34805,182
34843,137
36132,165
36525,182
36812,83
37451,70
39209,216
42721,207
43599,36
47457,100
47815,13
51166,8
53735,100
54645,27
54895,36
55674,193
56726,165
60595,216
61983,190
62103,193
66990,109
67323,119
69750,165
71345,227
72495,204
76071,204
77132,125
78401,63
85592,152
90780,74
91921,109
94413,193
98070,109
98349,130
100655,36
101181,70
102339,119
105726,207
106089,182
106188,12
107016,216
107460,74
107823,227
108683,227
109967,13
116715,32
120629,104
122500,227
122774,119
127920,165
133197,69
10173,12
27570,100
30567,97
33590,13
34618,120
36639,12
40683,119
43300,74
43495,69
43989,100
44618,150
45843,150
45891,193
55216,12
55886,150
79705,207
84314,190
105351,27
108145,74
108704,190
113590,40
117042,97
121068,216
130137,162
132997,214
2621,120
15603,97
17308,100
32480,109
38319,216
40520,36
40741,69
41647,119
46845,125
49678,150
53766,97
55118,216
63608,70
65802,74
69037,36
87177,152
89144,125
89962,125
90967,119
91853,119
105798,97
111020,125
116789,190
122590,104
126925,216
128560,13
132153,104
133598,207
10617,197
14133,190
36975,63
38299,74
59565,109
70240,109
100327,150
124903,81
129323,216
135189,97
2320,69
2556,70
5888,13
15994,227
18982,216
20543,204
21260,70
22300,69
32258,190
32910,193
33569,190
33713,207
33941,4
35106,100
35196,40
37110,100
42261,182
45574,13
46741,104
46909,97
47339,190
55887,193
84961,104
85958,182
89263,227
91407,207
95380,150
100551,32
101821,69
101873,69
102092,100
107017,36
107979,40
114849,97
